state,county,hpsa_score,designation_type,population_of_designation
Washington,Ferry County,20,Geographic Area,8500
Washington,Yakima County,19,Geographic Area,256000
Washington,Pend Oreille County,18,Geographic Area,14100
Washington,Stevens County,17,Geographic Area,47300
Washington,Garfield County,17,Geographic Area,2400
Washington,Lincoln County,16,Geographic Area,11200
Washington,Adams County,16,Geographic Area,22400
Washington,Columbia County,15,Geographic Area,4100
Washington,Asotin County,14,Geographic Area,24700
Washington,Wahkiakum County,14,Geographic Area,4500
Washington,Grant County,14,Geographic Area,101700
Washington,Pacific County,13,Geographic Area,24200
Washington,Okanogan County,13,Geographic Area,44900
Washington,Franklin County,13,Geographic Area,99400
Washington,Clallam County,12,Geographic Area,83200
Washington,Douglas County,12,Geographic Area,46500
Washington,Grays Harbor County,12,Geographic Area,76500
Washington,Chelan County,11,Geographic Area,82000
Washington,Walla Walla County,11,Geographic Area,63200
Washington,Lewis County,11,Geographic Area,83900
Washington,Klickitat County,11,Geographic Area,23300
Washington,Mason County,10,Geographic Area,69400
Washington,Jefferson County,10,Geographic Area,34700
Washington,Skamania County,10,Geographic Area,12400
Washington,Cowlitz County,9,Geographic Area,121300
Washington,Kittitas County,9,Geographic Area,48400
Washington,Whatcom County,8,Geographic Area,245000
Washington,Skagit County,8,Geographic Area,132200
Washington,Whitman County,7,Geographic Area,53600
Washington,Thurston County,6,Geographic Area,312500
