state,year,ami_prevalence_pct,ami_received_treatment_pct,ami_unmet_need_pct,smi_prevalence_pct,sud_prevalence_pct,sud_received_treatment_pct
Alabama,2022,19.82,17.41,56.8,4.12,9.9,3.82
Alaska,2022,25.43,19.87,48.6,5.89,21.55,5.44
Arizona,2022,22.76,18.53,53.4,5.17,19.87,4.51
Arkansas,2022,21.44,17.02,57.3,4.98,16.88,4.02
California,2022,22.31,21.15,52.1,5.08,17.22,3.97
Colorado,2022,25.67,22.84,49.3,5.72,21.44,5.12
Connecticut,2022,23.18,25.43,43.7,5.41,17.06,4.88
Delaware,2022,22.41,21.77,50.8,5.03,17.44,4.63
District of Columbia,2022,20.15,31.22,36.4,4.77,20.78,6.21
Florida,2022,21.08,16.84,56.2,4.63,14.22,3.71
Georgia,2022,19.94,17.63,55.7,4.28,14.89,3.88
Hawaii,2022,20.83,19.41,52.9,4.52,15.77,4.22
Idaho,2022,23.11,15.67,60.4,5.04,17.33,3.93
Illinois,2022,22.87,22.18,51.4,5.19,19.66,4.74
Indiana,2022,22.44,19.33,53.8,5.06,18.11,4.41
Iowa,2022,21.67,20.89,52.2,4.81,17.44,4.53
Kansas,2022,21.93,19.77,53.1,4.88,17.88,4.34
Kentucky,2022,23.71,20.14,54.6,5.43,17.99,4.23
Louisiana,2022,21.62,18.21,55.9,4.83,17.44,4.02
Maine,2022,28.87,26.44,43.2,6.53,22.11,5.77
Maryland,2022,21.44,22.38,49.1,4.91,17.33,4.58
Massachusetts,2022,25.33,27.19,44.8,5.87,22.44,5.88
Michigan,2022,24.67,23.44,48.7,5.56,21.88,5.23
Minnesota,2022,23.88,24.11,47.3,5.41,19.77,5.02
Mississippi,2022,21.87,16.99,57.8,4.74,15.33,3.67
Missouri,2022,23.44,20.87,52.6,5.27,20.44,4.78
Montana,2022,25.88,20.11,51.8,5.77,22.33,5.02
Nebraska,2022,20.77,21.04,50.6,4.58,16.88,4.44
Nevada,2022,24.88,16.22,61.7,5.34,22.77,4.33
New Hampshire,2022,23.11,22.87,49.2,5.19,20.33,5.41
New Jersey,2022,17.44,20.77,47.3,3.88,14.44,4.22
New Mexico,2022,22.66,19.88,53.8,5.11,20.11,4.58
New York,2022,22.88,24.33,47.8,5.17,19.33,4.99
North Carolina,2022,21.33,18.77,54.4,4.78,15.99,3.94
North Dakota,2022,21.88,19.44,52.7,4.83,17.44,4.41
Ohio,2022,23.67,21.88,51.3,5.38,20.77,4.89
Oklahoma,2022,24.44,17.88,57.2,5.47,22.33,4.44
Oregon,2022,28.11,23.44,48.9,6.33,25.88,5.67
Pennsylvania,2022,22.77,22.11,50.7,5.14,18.88,4.76
Rhode Island,2022,26.88,25.77,46.1,6.02,22.11,5.54
South Carolina,2022,20.44,17.88,55.3,4.47,15.44,3.88
South Dakota,2022,21.22,19.11,53.4,4.67,17.22,4.33
Tennessee,2022,23.11,17.44,57.9,5.19,16.77,3.89
Texas,2022,18.77,14.33,61.2,4.08,13.88,3.22
Utah,2022,22.44,19.22,53.8,5.02,17.88,4.11
Vermont,2022,27.88,28.77,39.8,6.22,24.44,6.33
Virginia,2022,21.88,21.33,51.1,4.88,16.88,4.44
Washington,2022,27.14,23.88,51.2,6.46,20.23,4.68
West Virginia,2022,24.11,18.44,56.3,5.56,19.44,4.17
Wisconsin,2022,22.33,21.99,50.2,4.99,17.88,4.67
Wyoming,2022,24.22,16.11,61.8,5.33,18.88,4.02
